"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"North Pacific Paper Company, LLC - Longview","2023","Pulp and Paper","Other Pulp and Paper","322122","Newsprint Mills","NP Paper Investor Holdings LLC","Longview","Cowlitz","Southwest Clean Air Agency","36,395","0","36,357","17","21","0","0","0","0","Formerly part of Nippon Dynawave before 2016.","2","46.125662, -122.976788","36,395","Covered Entity","POINT (-122.976788 46.125662)"
"Avista Corporation LDC - WA - statewide","2017","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","Avista Corp.","Spokane","Spokane","Spokane Regional Clean Air Agency","15,615","0","19","15,596","0","0","0","0","0",,"1","47.673662, -117.388735",,,"POINT (-117.388735 47.673662)"
"Grant County PUD #2 -Ephrata","2022","Power","COU","221122","Electric Power Distribution","Grant County Public Utility District","Ephrata","Grant",,"368,613",,,,,,,,,,,,,,
"HF Sinclair Puget Sound Refinery LLC - Anacortes","2019","Petroleum Systems","Petroleum Refineries","324110","Petroleum Refineries","HollyFrontier Puget Sound Refining LLC","Anacortes","Skagit","Northwest Clean Air Agency","1,859,842","0","1,849,068","6,767","4,007","0","0","0","0","Assigned Emissions Level","4","48.470931, -122.559161",,,"POINT (-122.559161 48.470931)"
"Darling Ingredients Inc - Tacoma","2023","Food Production","Meat Products","311613","Rendering and Meat Byproduct Processing","Darling Ingredients Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","0","0","0","0","0","0","0","0","0","Curtailed in September 2022.","1","47.250503, -122.406461",,"Reporter","POINT (-122.406461 47.250503)"
"North Pacific Paper Company, LLC - Longview","2013","Pulp and Paper","Other Pulp and Paper","322122","Newsprint Mills","NP Paper Investor Holdings LLC","Longview","Cowlitz","Southwest Clean Air Agency","43,125","0","43,080","20","24","0","0","0","0","Assigned emissions level.  Formerly part of Nippon Dynawave before 2016.  Ecology split emissions for consistency with cooperation from facility.","2","46.125662, -122.976788",,,"POINT (-122.976788 46.125662)"
"Avista Corporation LDC - WA - statewide","2022","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","Avista Corp.","Spokane","Spokane","Spokane Regional Clean Air Agency","16,213","0","20","16,193","0","0","0","0","0",,"1","47.673662, -117.388735",,,"POINT (-117.388735 47.673662)"
"Central Washington University - Ellensburg","2021","Government","Education","611310","Colleges, Universities, and Professional Schools","State of Washington","Ellensburg","Kittitas","Ecology: Central Regional Office","12,824","0","12,811","6","7","0","0","0","0",,"1","47.003202, -120.544513",,,"POINT (-120.544513 47.003202)"
"NW Natural - Portland","2015","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","NW Natural","Portland","Multnomah","Southwest Clean Air Agency","7,824","0","9","7,815","0","0","0","0","0",,"1","45.516631, -122.675749",,,"POINT (-122.675749 45.516631)"
"Milne Fruit Products - Prosser","2020","Food Production","Fruit Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Milne Fruit Products","Prosser","Benton","Benton Clean Air Agency","10,402","0","10,391","5","6","0","0","0","0",,"1","46.202562, -119.775527",,,"POINT (-119.775527 46.202562)"
"Naval Base Kitsap Bangor - Silverdale","2012","Government","National Security","928110","National Security","US Government","Silverdale","Kitsap","Puget Sound Clean Air Agency","24,063","0","24,036","12","15","0","0","0","0",,"1","47.699284, -122.696926",,,"POINT (-122.696926 47.699284)"
"NW Natural - supplier","2021","Supplier","Natural Gas Supplier","221210","Natural Gas Distribution",,"Portland","Multnomah",,"497,636","0","497,126","233","277","0","0","0","0",,,,,,
"CHS Inc.","2022","Supplier","Other Fuel Supplier","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","CHS Inc.","Inver Grove Heights","Dakota",,"568,493","12,313","552,215","401","3,563","0","0","0","0",,,,,,
"Spectrum Glass Company - Woodinville","2014","Minerals","Glass Production","327211","Flat Glass Manufacturing","Vanguard Properties Co.","Woodinville","King","Puget Sound Clean Air Agency","11,739","0","11,728","5","6","0","0","0","0",,"1","47.777004, -122.148978",,,"POINT (-122.148978 47.777004)"
"Cascade Natural Gas Corporation LDC - statewide","2023","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","MDU Resources Group Inc.","Kennewick","Benton","Benton Clean Air Agency","27,198","0","3,025","24,171","2","0","0","0","0",,"2","46.21875, -119.22987","27,198","Covered Entity","POINT (-119.22987 46.21875)"
"The Boeing Company - Auburn Site - Auburn","2019","Manufacturing","Transportation Industry","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing","The Boeing Company","Auburn","King","Puget Sound Clean Air Agency","36,795","0","36,758","17","21","0","0","0","0",,"2","47.285551, -122.242298",,,"POINT (-122.242298 47.285551)"
"SEH America, Inc - Vancouver","2020","Manufacturing","Electronics Industry","334413","Semiconductor and Related Device Manufacturing","SEH America Inc.","Vancouver","Clark","Southwest Clean Air Agency","10,896","0","10,885","5","6","0","0","0","0",,"1","45.649912, -122.553612",,,"POINT (-122.553612 45.649912)"
"River Road Generating Plant - Vancouver","2012","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Clark Public Utilities","Vancouver","Clark","Southwest Clean Air Agency","327,201","0","326,869","152","181","0","0","0","0",,"3","45.64958, -122.724806",,,"POINT (-122.724806 45.64958)"
"River Road Generating Plant - Vancouver","2014","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Clark Public Utilities","Vancouver","Clark","Southwest Clean Air Agency","553,919","0","553,357","257","306","0","0","0","0",,"3","45.64958, -122.724806",,,"POINT (-122.724806 45.64958)"
"The Boeing Company - Fabrication (Frederickson Site) - Puyallup","2014","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Puyallup","Pierce","Puget Sound Clean Air Agency","21,442","0","21,420","10","12","0","0","0","0",,"1","47.088831, -122.34862",,,"POINT (-122.34862 47.088831)"
"WestRock CP, LLC - Tacoma","2020","Pulp and Paper","Kraft Mills","322130","Paperboard Mills","Westrock Corp.","Tacoma","Pierce","Ecology: Industrial Section","1,108,691","965,097","137,925","1,051","4,618","0","0","0","0",,"4","47.260953, -122.421765",,,"POINT (-122.421765 47.260953)"
"Starbucks Kent Flexible Plant - Kent","2018","Food Production","Other Food Products","311920","Coffee and Tea Manufacturing","Starbucks Corp.","Kent","King","Puget Sound Clean Air Agency","12,709","0","12,696","6","7","0","0","0","0",,"1","47.436276, -122.237648",,,"POINT (-122.237648 47.436276)"
"Naval Base Kitsap - Bremerton","2021","Government","National Security","928110","National Security","US Government","Bremerton","Kitsap","Puget Sound Clean Air Agency","43,005","0","42,960","21","25","0","0","0","0",,"2","47.557047, -122.645933",,,"POINT (-122.645933 47.557047)"
"Northwest Hardwoods Inc. - Mount Vernon","2013","Wood Products","Lumber Mills","321113","Sawmills","Littlejohn & Co. LLC","Mount Vernon","Skagit","Northwest Clean Air Agency","12,937","9,075","3,737","19","106","0","0","0","0",,"1","48.451642, -122.443028",,,"POINT (-122.443028 48.451642)"
"Murphy Veneer - Elma","2014","Wood Products","Other Wood Products","321212","Softwood Veneer and Plywood Manufacturing","Murphy Co.","Elma","Grays Harbor","Olympic Region Clean Air Agency","11,845","0","11,833","6","7","0","0","0","0",,"1","47.040323, -123.334339",,,"POINT (-123.334339 47.040323)"
